07:41:16.655741  [WARNING ][init_cfg]warning:missed section:server_8
07:41:16.707348  [WARNING ][init_cfg]warning:missed section:server_9
07:41:16.707391  [WARNING ][init_cfg]warning:missed section:server_10
07:41:16.707414  [WARNING ][init_cfg]warning:missed section:server_11
07:41:16.707434  [WARNING ][init_cfg]warning:missed section:server_12
07:41:16.707453  [WARNING ][init_cfg]warning:missed section:server_13
07:41:16.707472  [WARNING ][init_cfg]warning:missed section:server_14
07:41:16.707491  [WARNING ][init_cfg]warning:missed section:server_15
07:41:16.707510  [WARNING ][init_cfg]warning:missed section:server_16
07:41:16.707529  [WARNING ][init_cfg]warning:missed section:server_17
07:41:16.707549  [WARNING ][init_cfg]warning:missed section:server_18
07:41:16.707567  [WARNING ][init_cfg]warning:missed section:server_19
07:41:16.707587  [WARNING ][init_cfg]warning:missed section:server_20
07:41:16.707606  [WARNING ][init_cfg]warning:missed section:server_21
07:41:16.707625  [WARNING ][init_cfg]warning:missed section:server_22
07:41:16.707644  [WARNING ][init_cfg]warning:missed section:server_23
07:41:16.707663  [WARNING ][init_cfg]warning:missed section:server_24
07:41:16.707682  [WARNING ][init_cfg]warning:missed section:server_25
07:41:16.707701  [WARNING ][init_cfg]warning:missed section:server_26
07:41:16.707720  [WARNING ][init_cfg]warning:missed section:server_27
07:41:16.707739  [WARNING ][init_cfg]warning:missed section:server_28
07:41:16.707758  [WARNING ][init_cfg]warning:missed section:server_29
07:41:16.708299  [DEBUG   ][CDefParser::init]==========
07:41:16.740312  [DEBUG   ][CDefParser::init]m_EntityDefMd5 = e5a2d6e9b88cff1622d5b58a25f71496
07:41:16.740513  [INFO    ][world::initNextEntityId]init_id=16777216
07:41:16.740956  [DEBUG   ][CEpollServer::AddFdAndMb]serverName=
07:41:16.741061  [DEBUG   ][CEpollServer::addFdAndMb]fd=4;fd_type=1;addr=;port=8001;authz=0
07:41:16.741083  [DEBUG   ][start_server]:8001,success.
07:41:16.741162  [DEBUG   ][CEpollServer::addFdAndMb]fd=6;fd_type=2;addr=192.168.1.102;port=8002;authz=0
07:41:16.741179  [DEBUG   ][try_to_connect_mailbox]server=192.168.1.102;port=8002
07:41:16.741247  [DEBUG   ][CEpollServer::addFdAndMb]fd=7;fd_type=2;addr=192.168.1.102;port=8003;authz=0
07:41:16.741267  [DEBUG   ][try_to_connect_mailbox]server=192.168.1.102;port=8003
07:41:16.741363  [DEBUG   ][CEpollServer::addFdAndMb]fd=8;fd_type=2;addr=192.168.1.102;port=8004;authz=0
07:41:16.741387  [DEBUG   ][try_to_connect_mailbox]server=192.168.1.102;port=8004
07:41:16.741418  [DEBUG   ][CEpollServer::addFdAndMb]fd=9;fd_type=2;addr=192.168.1.102;port=8005;authz=0
07:41:16.741431  [DEBUG   ][try_to_connect_mailbox]server=192.168.1.102;port=8005
07:41:16.741456  [DEBUG   ][CEpollServer::addFdAndMb]fd=10;fd_type=2;addr=192.168.1.102;port=8006;authz=0
07:41:16.741468  [DEBUG   ][try_to_connect_mailbox]server=192.168.1.102;port=8006
07:41:16.741491  [DEBUG   ][CEpollServer::addFdAndMb]fd=11;fd_type=2;addr=192.168.1.102;port=8007;authz=0
07:41:16.741503  [DEBUG   ][try_to_connect_mailbox]server=192.168.1.102;port=8007
07:41:16.741534  [INFO    ][connect_2_mb]connect 192.168.1.102:8002 error:111,Connection refused
07:41:16.741546  [DEBUG   ][CEpollServer::removeFd]fd=6;fd_type=2;addr=192.168.1.102;port=8002
07:41:16.741561  [INFO    ][connect_2_mb]connect 192.168.1.102:8003 error:111,Connection refused
07:41:16.741569  [DEBUG   ][CEpollServer::removeFd]fd=7;fd_type=2;addr=192.168.1.102;port=8003
07:41:16.741582  [INFO    ][connected_2_mb]mb fd = 8 connected severName = 192.168.1.102, port = 8004,
07:41:16.741592  [INFO    ][connect_2_mb]connect 192.168.1.102:8005 error:111,Connection refused
07:41:16.741600  [DEBUG   ][CEpollServer::removeFd]fd=9;fd_type=2;addr=192.168.1.102;port=8005
07:41:16.741611  [INFO    ][connect_2_mb]connect 192.168.1.102:8006 error:111,Connection refused
07:41:16.741620  [DEBUG   ][CEpollServer::removeFd]fd=10;fd_type=2;addr=192.168.1.102;port=8006
07:41:16.741629  [INFO    ][connect_2_mb]connect 192.168.1.102:8007 error:111,Connection refused
07:41:16.741638  [DEBUG   ][CEpollServer::removeFd]fd=11;fd_type=2;addr=192.168.1.102;port=8007
07:41:16.799280  [INFO    ][new_connection]connected from 192.168.1.102:59531, assigned socket is:12
07:41:16.799324  [DEBUG   ][CEpollServer::AddFdAndMb]serverName=192.168.1.102
07:41:16.799337  [DEBUG   ][CEpollServer::AddFdAndMb]client_trusted, serverName=192.168.1.102
07:41:16.799348  [DEBUG   ][CEpollServer::addFdAndMb]fd=12;fd_type=3;addr=192.168.1.102;port=59531;authz=15
07:41:16.833410  [INFO    ][new_connection]connected from 192.168.1.102:59541, assigned socket is:13
07:41:16.833464  [DEBUG   ][CEpollServer::AddFdAndMb]serverName=192.168.1.102
07:41:16.833487  [DEBUG   ][CEpollServer::AddFdAndMb]client_trusted, serverName=192.168.1.102
07:41:16.833506  [DEBUG   ][CEpollServer::addFdAndMb]fd=13;fd_type=3;addr=192.168.1.102;port=59541;authz=15
07:41:16.848340  [INFO    ][new_connection]connected from 192.168.1.102:59548, assigned socket is:14
07:41:16.848373  [DEBUG   ][CEpollServer::AddFdAndMb]serverName=192.168.1.102
07:41:16.848384  [DEBUG   ][CEpollServer::AddFdAndMb]client_trusted, serverName=192.168.1.102
07:41:16.848395  [DEBUG   ][CEpollServer::addFdAndMb]fd=14;fd_type=3;addr=192.168.1.102;port=59548;authz=15
07:41:20.104838  [INFO    ][new_connection]connected from 192.168.1.102:59561, assigned socket is:15
07:41:20.104882  [DEBUG   ][CEpollServer::AddFdAndMb]serverName=192.168.1.102
07:41:20.104895  [DEBUG   ][CEpollServer::AddFdAndMb]client_trusted, serverName=192.168.1.102
07:41:20.104906  [DEBUG   ][CEpollServer::addFdAndMb]fd=15;fd_type=3;addr=192.168.1.102;port=59561;authz=15
07:41:20.686916  [INFO    ][new_connection]connected from 192.168.1.102:59567, assigned socket is:16
07:41:20.686957  [DEBUG   ][CEpollServer::AddFdAndMb]serverName=192.168.1.102
07:41:20.686969  [DEBUG   ][CEpollServer::AddFdAndMb]client_trusted, serverName=192.168.1.102
07:41:20.686980  [DEBUG   ][CEpollServer::addFdAndMb]fd=16;fd_type=3;addr=192.168.1.102;port=59567;authz=15
07:41:21.081011  [DEBUG   ][CEpollServer::addFdAndMb]fd=11;fd_type=2;addr=192.168.1.102;port=8007;authz=0
07:41:21.081197  [DEBUG   ][CEpollServer::addFdAndMb]fd=10;fd_type=2;addr=192.168.1.102;port=8006;authz=0
07:41:21.081302  [DEBUG   ][CEpollServer::addFdAndMb]fd=9;fd_type=2;addr=192.168.1.102;port=8005;authz=0
07:41:21.081408  [DEBUG   ][CEpollServer::addFdAndMb]fd=7;fd_type=2;addr=192.168.1.102;port=8003;authz=0
07:41:21.081820  [DEBUG   ][CEpollServer::addFdAndMb]fd=6;fd_type=2;addr=192.168.1.102;port=8002;authz=0
07:41:21.081886  [INFO    ][connected_2_mb]mb fd = 11 connected severName = 192.168.1.102, port = 8007,
07:41:21.081909  [INFO    ][connected_2_mb]mb fd = 10 connected severName = 192.168.1.102, port = 8006,
07:41:21.081929  [INFO    ][connected_2_mb]mb fd = 9 connected severName = 192.168.1.102, port = 8005,
07:41:21.081947  [INFO    ][connected_2_mb]mb fd = 7 connected severName = 192.168.1.102, port = 8003,
07:41:21.081966  [INFO    ][connected_2_mb]mb fd = 6 connected severName = 192.168.1.102, port = 8002,
07:41:21.706020  [INFO    ][new_connection]connected from 192.168.1.102:59592, assigned socket is:17
07:41:21.706091  [DEBUG   ][CEpollServer::AddFdAndMb]serverName=192.168.1.102
07:41:21.706118  [DEBUG   ][CEpollServer::AddFdAndMb]client_trusted, serverName=192.168.1.102
07:41:21.706144  [DEBUG   ][CEpollServer::addFdAndMb]fd=17;fd_type=3;addr=192.168.1.102;port=59592;authz=15
07:41:26.049237  [INFO    ][CWorldLogin::ModifyLoginFlag]input=1;flag=1
07:41:26.049281  [DEBUG   ][CWorldLogin::FromRpcCall]-------------------MSGID_LOGINAPP_MODIFY_LOGIN_FLAG------- nRet=0
07:44:14.154344  [INFO    ][new_connection]connected from 192.168.1.22:50521, assigned socket is:18
07:44:14.154433  [DEBUG   ][CEpollServer::AddFdAndMb]serverName=192.168.1.22
07:44:14.154449  [DEBUG   ][CEpollServer::AddFdAndMb]client_trusted, serverName=192.168.1.22
07:44:14.154462  [DEBUG   ][CEpollServer::addFdAndMb]fd=18;fd_type=3;addr=192.168.1.22;port=50521;authz=15
07:44:14.213231  [DEBUG   ][CWorldLogin::_AccountLoginImpl]--------------_AccountLoginImpl------
07:44:14.213317  [DEBUG   ][CWorldLogin::_AccountLoginImpl]-----------_AccountLoginImpl---p->size()=7
07:44:14.213350  [DEBUG   ][CWorldLogin::_AccountLoginImpl]-----------_AccountLoginImpl;p1=à3;p2=&0;p3=»÷/
07:44:14.213371  [INFO    ][CWorldLogin::account_login]----------------- client attempt to login;account=111111@test;passwd=111111@test;fd=18
07:44:14.213401  [INFO    ][CWorldLogin::account_login]-------------- MSGID_DBMGR_SELECT_ACCOUNT----;pszAccount=111111@test; pszPasswd=111111@test; nFd=18
07:44:14.213422  [DEBUG   ][CWorldLogin::FromRpcCall]-----------------MSGID_LOGINAPP_LOGIN--------- nRet=0
07:44:14.270369  [INFO    ][CWorldLogin::select_account_callback]----------------- SelectAccountCallback 1 ------
07:44:14.270449  [INFO    ][CWorldLogin::select_account_callback]----------------- SelectAccountCallback 2 ------
07:44:14.270468  [INFO    ][CWorldLogin::select_account_callback]----------- account=111111@test;fd=18;ret=1
07:44:14.270486  [INFO    ][CWorldLogin::select_account_callback]----------------- MAILBOX_CLIENT_AUTHZ ------
07:44:14.270501  [INFO    ][CWorldLogin::select_account_callback]----------------- ENUM_LOGIN_SUCCESS ------
07:44:14.270515  [INFO    ][CWorldLogin::select_account_callback]----------------- MSGID_BASEAPPMGR_CREATEBASE_FROM_NAME_ANYWHERE 1 ------
07:44:14.270532  [INFO    ][CWorldLogin::select_account_callback]-------dbmgr ----- MSGID_BASEAPPMGR_CREATEBASE_FROM_NAME_ANYWHERE 2 ------
07:44:14.270546  [DEBUG   ][CWorldLogin::SelectAccountCallback]u.GenLen()=9
